"status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"OK","negbinomial.size",0,0,"MXRA8",1800,TRUE
"OK","negbinomial.size",0,0,"MMP23B",1541,TRUE
"OK","negbinomial.size",0,0,"ERRFI1",4348,TRUE
"OK","negbinomial.size",3.13662154250684e-293,6.55356916489957e-293,"MFAP2",1289,TRUE
"OK","negbinomial.size",0,0,"NBL1",3579,TRUE
"OK","negbinomial.size",0,0,"PLA2G2A",584,TRUE
"OK","negbinomial.size",3.12845815557048e-278,6.35238569147528e-278,"C1QA",573,TRUE
"OK","negbinomial.size",0,0,"C1QB",590,TRUE
"OK","negbinomial.size",3.77240005574109e-21,4.28231764857749e-21,"ID3",4559,TRUE
"OK","negbinomial.size",9.09854232344455e-14,1.00130268572259e-13,"STMN1",3400,TRUE
"OK","negbinomial.size",4.2170573911155e-56,5.35646790501455e-56,"SH3BGRL3",6562,TRUE
"OK","negbinomial.size",0,0,"CD52",1121,TRUE
"OK","negbinomial.size",0,0,"SFN",4066,TRUE
"OK","negbinomial.size",2.18351168227095e-304,4.66354964238116e-304,"IFI6",2158,TRUE
"OK","negbinomial.size",0,0,"LAPTM5",1178,TRUE
"OK","negbinomial.size",0,0,"TINAGL1",2548,TRUE
"OK","negbinomial.size",0,0,"TSPAN1",2835,TRUE
"OK","negbinomial.size",0,0,"CYP4B1",2345,TRUE
"OK","negbinomial.size",0,0,"PLPP3",2158,TRUE
"OK","negbinomial.size",0,0,"TACSTD2",4973,TRUE
"OK","negbinomial.size",2.06765911139942e-265,4.10212186091858e-265,"JUN",7648,TRUE
"OK","negbinomial.size",0,0,"LEPR",968,TRUE
"OK","negbinomial.size",1.31557057574868e-244,2.52321185814325e-244,"CYR61",3865,TRUE
"OK","negbinomial.size",0,0,"F3",3697,TRUE
"OK","negbinomial.size",4.7694118407041e-158,7.72573266331282e-158,"CD53",516,TRUE
"OK","negbinomial.size",0,0,"C1orf162",773,TRUE
"OK","negbinomial.size",0,0,"OLFML3",1818,TRUE
"OK","negbinomial.size",0,0,"ECM1",1578,TRUE
"OK","negbinomial.size",0,0,"CTSK",1776,TRUE
"OK","negbinomial.size",0,0,"S100A4",4750,TRUE
"OK","negbinomial.size",0,0,"S100A2",5116,TRUE
"OK","negbinomial.size",0,0,"S100A14",3618,TRUE
"OK","negbinomial.size",0,0,"EFNA1",2673,TRUE
"OK","negbinomial.size",0,0,"CRABP2",1562,TRUE
"OK","negbinomial.size",0,0,"FCER1A",650,TRUE
"OK","negbinomial.size",0,0,"FCER1G",1390,TRUE
"OK","negbinomial.size",0,0,"HSPA6",2033,TRUE
"OK","negbinomial.size",0,0,"DPT",1562,TRUE
"OK","negbinomial.size",0,0,"ATP1B1",4595,TRUE
"OK","negbinomial.size",4.21556396710922e-278,8.53972560081843e-278,"FMO2",1994,TRUE
"OK","negbinomial.size",0,0,"ANGPTL1",962,TRUE
"OK","negbinomial.size",1.67331262910688e-231,3.12616722284546e-231,"ABL2",1879,TRUE
"OK","negbinomial.size",0,0,"QSOX1",2465,TRUE
"OK","negbinomial.size",3.24833409455713e-227,6.00386536707674e-227,"GLUL",6416,TRUE
"OK","negbinomial.size",0,0,"LAMC2",1585,TRUE
"OK","negbinomial.size",0,0,"PRG4",525,TRUE
"OK","negbinomial.size",0,0,"RGS1",1516,TRUE
"OK","negbinomial.size",0,0,"RGS13",816,TRUE
"OK","negbinomial.size",0,0,"RGS2",3274,TRUE
"OK","negbinomial.size",0,0,"CFH",3430,TRUE
"OK","negbinomial.size",1.91715691384487e-155,3.07669894336885e-155,"PTPRC",479,TRUE
"OK","negbinomial.size",0,0,"ELF3",4607,TRUE
"OK","negbinomial.size",0,0,"PRELP",1452,TRUE
"OK","negbinomial.size",0,0,"C1orf186",643,TRUE
"OK","negbinomial.size",0,0,"LAMB3",3016,TRUE
